Manufacturer,Year,Mileage
acura,2014,63500.0
acura,2009,179389.0
acura,2008,118250.0
audi,2008,177422.0
audi,2015,47213.0
audi,2017,65833.0
audi,2005,181896.0
bmw,2014,33542.0
bmw,2008,77984.0
bmw,2017,23177.0
bmw,2013,46060.0
bmw,2017,17626.0
bmw,2017,22115.0
bmw,2014,44730.0
bmw,2017,23765.0
bmw,2017,29355.0
bmw,2000,216657.0
bmw,2020,7509.0
bmw,2016,39917.0
bmw,2017,61428.0
bmw,2016,31727.0
bmw,2016,24293.0
bmw,2011,80394.0
bmw,2016,33110.0
buick,2017,32107.0
buick,2017,46766.0
buick,2017,23765.0
buick,2017,14907.0
buick,2017,17940.0
buick,2017,60171.0
buick,2017,25434.0
buick,2006,137464.0
buick,2019,12406.0
buick,2018,20002.0
buick,2016,19655.0
buick,2014,31039.0
buick,2016,51393.0
cadillac,2016,46467.0
cadillac,2017,19011.0
cadillac,2019,16013.0
cadillac,2017,26562.0
cadillac,2017,35598.0
cadillac,2016,26667.0
cadillac,2017,32418.0
cadillac,2015,57932.0
cadillac,2015,36122.0
cadillac,2000,105169.0
chevrolet,2008,130623.0
chevrolet,2018,11150.0
chevrolet,2004,308451.0
chevrolet,2016,44653.0
chevrolet,2016,91248.0
chevrolet,2015,58504.0
chevrolet,2016,65336.0
chevrolet,2015,29937.0
chevrolet,2016,48974.0
chevrolet,2007,194903.0
chevrolet,2016,86541.0
chevrolet,2016,40011.0
chevrolet,2019,11564.0
chevrolet,2019,37444.0
chevrolet,2019,7654.0
chevrolet,2019,43199.0
chevrolet,2013,66079.0
chevrolet,1995,274706.0
chevrolet,2019,43589.0
chevrolet,2008,123515.0
chevrolet,2013,119981.0
chevrolet,2008,159266.0
chevrolet,2019,32870.0
chevrolet,2006,165327.0
chevrolet,2018,42941.0
chevrolet,2019,6159.0
chevrolet,2011,47269.0
chevrolet,2019,5938.0
chevrolet,2019,9019.0
chevrolet,2018,45836.0
chevrolet,2008,172102.0
chevrolet,2016,60215.0
chevrolet,2015,125507.0
chevrolet,2003,194673.0
chevrolet,2010,137422.0
chevrolet,2016,90944.0
chevrolet,2015,82785.0
chevrolet,2009,117059.0
chevrolet,2014,150525.0
chevrolet,2010,149189.0
chevrolet,2013,112267.0
chevrolet,2013,139394.0
chevrolet,2011,105244.0
chevrolet,2013,82543.0
chevrolet,2019,13532.0
chevrolet,2014,87673.0
chevrolet,2008,325611.0
chevrolet,2018,14751.0
chevrolet,2015,80711.0
chevrolet,2019,38826.0
chevrolet,2017,53273.0
chevrolet,2014,94356.0
chevrolet,2017,50408.0
chevrolet,2015,85792.0
chevrolet,2014,129068.0
chevrolet,2019,27665.0
chevrolet,2019,25427.0
chevrolet,2013,78198.0
chevrolet,2020,13886.0
chevrolet,2019,34538.0
chevrolet,2015,83173.0
chevrolet,2011,88287.0
chevrolet,2001,149543.0
chevrolet,2010,149189.0
chevrolet,2003,507985.0
chevrolet,2011,105486.0
chevrolet,2003,194673.0
chevrolet,2004,173321.0
chevrolet,2008,172102.0
chevrolet,2005,135675.0
chevrolet,2012,134938.0
chevrolet,2011,114547.0
chevrolet,2010,69622.0
chevrolet,2006,118009.0
chevrolet,2017,85315.0
chevrolet,2017,76211.0
chevrolet,2015,94150.0
